Team,Elo 
Spain,2171
Argentina,2113
France,2062
England,2042
Colombia,1998
Brazil,1978
Portugal,1976
Netherlands,1959
Croatia,1933
Ecuador,1933
Norway,1922
Germany,1910
Uruguay,1890
Switzerland,1897
Japan,1878
Austria,1871
Denmark,~1850
Sweden,~1850
Italy,~1850
Belgium,1849
Mexico,1835
Paraguay,1774
Canada,1785
IR Iran,1754
Poland,~1800
Senegal,1800
Morocco,1803
USA,1682
Uzbekistan,1698
Algeria,1701
Panama,1723
Turkey,~1750
Ukraine,~1750
Czechia,~1750
Romania,~1700
Wales,~1700
Egypt,1644
Côte d'Ivoire,1643
Tunisia,1642
South Africa,1636
Jordan,1608
Ireland,~1650
Slovakia,~1650
Bosnia & Herzegovina,~1650
Albania,~1650
North Macedonia,~1600
Northern Ireland,~1600
Kosovo,~1550
Cabo Verde,1561
,1574
,1592
,1599
,1507
,~1500
,~1450
,1443
,~1442
,1415
,~1400
,~1538
,1351
,1294
,~1296
